Date,Description,Withdrawals,Deposits,Category,Balance
1/4/2022,ETS ERG                   https://www.f NJ,$205.00 ,,Education,
1/4/2022,KROGER #448               MASON OH,$22.48 ,,Groceries,
1/4/2022,CENTRAL CAFE              CINCINNATI OH,$6.90 ,,Restaurants,
1/1/2022,ONLINE CREDIT CARD PMT 01/01 XXXX2419,,$86.17 ,ATM,
12/31/2021,THE WOODEN BARREL         WEST CHESTER OH,$30.68 ,,Restaurants,
12/31/2021,MCDONALD'S F32235         WEST CHESTER OH,$14.23 ,,Restaurants,
12/31/2021,ROLLHOUSE - FAIRFIELD     FAIRFIELD TOW OH,$8.46 ,,Entertainment,
12/29/2021,MCDONALD'S F16396         WEST CHESTER OH,$29.56 ,,Restaurants,
12/29/2021,KROGER #383               LIBERTY TWP OH,$3.61 ,,Groceries,
12/26/2021,ONLINE CREDIT CARD PMT 12/26 XXXX2419,,$204.44 ,ATM,
12/24/2021,GIANT LIQUORS             WEST CHESTER OH,$87.75 ,,Groceries,
12/24/2021,McDonalds 24270           151-3229014 OH,$4.89 ,,Restaurants,
12/23/2021,ONLINE CREDIT CARD PMT 12/23 XXXX2419,,$162.28 ,ATM,
12/23/2021,THORNTONS #0074           MASON OH,$48.11 ,,Auto + Gas,
12/23/2021,SQ *SHAW THE BARBER       West Chester OH,$36.00 ,,Personal + Family,
12/22/2021,PAYPAL *EPIC GAMES        402-935-7733 NC,$38.33 ,,Entertainment,
12/22/2021,KROGER #448               MASON OH,$11.76 ,,Groceries,
12/22/2021,WAL-MART #1441            MASON OH,$7.55 ,,Groceries,
12/22/2021,KROGER #448               MASON OH,$5.78 ,,Groceries,
12/21/2021,SLIM CHICKENS 11101       CINCINNATI OH,$17.27 ,,Restaurants,
12/21/2021,CHIPOTLE ONLINE           CHIPOTLE.COM CA,$9.10 ,,Restaurants,
12/19/2021,ULTA #341                 MASON OH,$89.89 ,,Electronics + Merchandise,
12/19/2021,KROGER #448               MASON OH,$22.49 ,,Groceries,
12/17/2021,MADTREE BREWING           CINCINNATI OH,$15.55 ,,Restaurants,
12/17/2021,CENTRAL CAFE              CINCINNATI OH,$6.38 ,,Restaurants,
12/17/2021,CENTRAL CAFE              CINCINNATI OH,$5.99 ,,Restaurants,
12/16/2021,ONLINE CREDIT CARD PMT 12/17 XXXX2419,,$74.45 ,ATM,
12/15/2021,WENDYS 9574               281-201-2700 OH,$6.89 ,,Restaurants,
12/14/2021,AMZN Mktp US*CC5KX01M3    Amzn.com/bill WA,$38.51 ,,Education,
12/14/2021,AMZN Mktp US*Z62OL1QF3    Amzn.com/bill WA,$14.96 ,,Education,
12/14/2021,CURRITO BURRITOS WITHOUT  513-8969695 OH,$10.29 ,,Restaurants,
12/14/2021,CENTRAL CAFE              CINCINNATI OH,$5.99 ,,Restaurants,
12/13/2021,ONLINE CREDIT CARD PMT 12/13 XXXX2419,,$181.44 ,ATM,
12/12/2021,ABC*CRUNCH FITNESS7680    888-8279262 OH,$10.69 ,,Entertainment,
12/11/2021,Amazon Prime*XY2II1KC3    Amzn.com/bill WA,$126.74 ,,Subscriptions + Renewals,
12/11/2021,KROGER #448               MASON OH,$19.60 ,,Groceries,
12/9/2021,WENDYS 1842               MASON OH,$11.74 ,,Restaurants,
12/8/2021,KROGER #383               LIBERTY TWP OH,$6.70 ,,Groceries,
12/7/2021,CENTRAL CAFE              CINCINNATI OH,$5.99 ,,Restaurants,
12/4/2021,ONLINE CREDIT CARD PMT 12/05 XXXX2419,,$92.27 ,ATM,
12/3/2021,AMAZON.COM*1U3LR8SG3 AMZNAMZN.COM/BILL WA,$10.67 ,,Education,
12/2/2021,MARATHON PETRO173641      SHARONVILLE OH,$50.60 ,,Auto + Gas,
12/2/2021,ONLINE CREDIT CARD PMT 12/02 XXXX2419,,$24.11 ,ATM,
12/1/2021,KROGER #448               MASON OH,$27.02 ,,Groceries,
11/30/2021,CENTRAL CAFE              CINCINNATI OH,$9.85 ,,Restaurants,
11/30/2021,MCDONALD'S F24270         MASON OH,$4.98 ,,Restaurants,
11/30/2021,CENTRAL CAFE              CINCINNATI OH,$2.40 ,,Restaurants,
11/30/2021,CENTRAL CAFE              CINCINNATI OH,$2.40 ,,Restaurants,
11/28/2021,SLIM CHICKENS 11101       CINCINNATI OH,$8.63 ,,Restaurants,
11/27/2021,AMAZON.COM*VG0608OA3 AMZNAMZN.COM/BILL WA,$9.43 ,,Education,
11/27/2021,COURSRA56ICA90LFOU5J6     650-963-9884 CA,$1.07 ,,Education,
11/26/2021,ONLINE CREDIT CARD PMT 11/26 XXXX2419,,$66.25 ,ATM,
11/23/2021,ONLINE CREDIT CARD PMT 11/23 XXXX2419,,$220.40 ,ATM,
11/22/2021,ASIAN WOK                 MASON OH,$17.00 ,,Restaurants,
11/21/2021,TST* BARRIO - EAST LANSINEAST LANSING MI,$59.22 ,,Restaurants,
